MONTH,2018,2019,2020,2021,2022,2023
JANUARY,8,8,5,5,8,8
FEBRUARY,8,8,5,5,8,9
MARCH,8,7,5,5,8,9
APRIL,8,7,0,5,8,
MAY,9,7,0,5,8,
JUNE,8,7,5,5,9,
JULY,8,7,5,6,9,
AUGUST,8,7,5,7,9,
SEPTEMBER,8,5,5,8,9,
OCTOBER,8,5,5,8,9,
NOVEMBER,8,5,5,8,9,
DECEMBER,8,5,5,7,9,
AVERAGE,8,7,4,6,9,9
